Ticker,Alert_Type,Severity,Title,Message,Triggered_At,Is_Read
ORA.PA,new_opportunity,media,Nueva oportunidad detectada en ORA.PA,ORA.PA aparece por primera vez con score 75.7 y clasificación seguimiento.,2026-08-27T19:13:34.817847+02:00,False
RI.PA,new_opportunity,media,Nueva oportunidad detectada en RI.PA,RI.PA aparece por primera vez con score 80.9 y clasificación seguimiento.,2026-08-27T19:13:35.018317+02:00,False
SAN.PA,new_opportunity,media,Nueva oportunidad detectada en SAN.PA,SAN.PA aparece por primera vez con score 61.6 y clasificación seguimiento.,2026-08-27T19:13:35.549935+02:00,False
SGO.PA,new_opportunity,media,Nueva oportunidad detectada en SGO.PA,SGO.PA aparece por primera vez con score 62.7 y clasificación pendiente_confirmacion.,2026-08-27T19:13:36.710268+02:00,False
RNO.PA,new_opportunity,media,Nueva oportunidad detectada en RNO.PA,RNO.PA aparece por primera vez con score 68.2 y clasificación seguimiento.,2026-08-27T19:13:42.729046+02:00,False
HEIA.AS,new_opportunity,media,Nueva oportunidad detectada en HEIA.AS,HEIA.AS aparece por primera vez con score 65.2 y clasificación seguimiento.,2026-08-27T19:13:43.751235+02:00,False
PHIA.AS,new_opportunity,media,Nueva oportunidad detectada en PHIA.AS,PHIA.AS aparece por primera vez con score 62.6 y clasificación entrada_escalada.,2026-08-27T19:13:45.901694+02:00,False
AD.AS,new_opportunity,media,Nueva oportunidad detectada en AD.AS,AD.AS aparece por primera vez con score 74.5 y clasificación seguimiento.,2026-08-27T19:13:48.988670+02:00,False
WKL.AS,new_opportunity,media,Nueva oportunidad detectada en WKL.AS,WKL.AS aparece por primera vez con score 66.7 y clasificación seguimiento.,2026-08-27T19:13:49.063340+02:00,False
ENI.MI,new_opportunity,media,Nueva oportunidad detectada en ENI.MI,ENI.MI aparece por primera vez con score 60.6 y clasificación seguimiento.,2026-08-27T19:13:49.595621+02:00,False
TEN.MI,new_opportunity,media,Nueva oportunidad detectada en TEN.MI,TEN.MI aparece por primera vez con score 66.8 y clasificación seguimiento.,2026-08-27T19:13:54.707345+02:00,False
UCB.BR,new_opportunity,media,Nueva oportunidad detectada en UCB.BR,UCB.BR aparece por primera vez con score 69.8 y clasificación seguimiento.,2026-08-27T19:13:57.684493+02:00,False
BP.L,new_opportunity,media,Nueva oportunidad detectada en BP.L,BP.L aparece por primera vez con score 61.4 y clasificación seguimiento.,2026-08-27T19:14:06.697333+02:00,False
AZN.L,new_opportunity,media,Nueva oportunidad detectada en AZN.L,AZN.L aparece por primera vez con score 66.2 y clasificación entrada_escalada.,2026-08-27T19:14:09.114789+02:00,False
GSK.L,new_opportunity,media,Nueva oportunidad detectada en GSK.L,GSK.L aparece por primera vez con score 67.6 y clasificación seguimiento.,2026-08-27T19:14:09.344501+02:00,False
RIO.L,new_opportunity,media,Nueva oportunidad detectada en RIO.L,RIO.L aparece por primera vez con score 63.6 y clasificación pendiente_confirmacion.,2026-08-27T19:14:13.002951+02:00,False
NG.L,new_opportunity,media,Nueva oportunidad detectada en NG.L,NG.L aparece por primera vez con score 68.2 y clasificación seguimiento.,2026-08-27T19:14:14.687955+02:00,False
BATS.L,new_opportunity,media,Nueva oportunidad detectada en BATS.L,BATS.L aparece por primera vez con score 74.2 y clasificación entrada_directa.,2026-08-27T19:14:17.744601+02:00,False
IMB.L,new_opportunity,media,Nueva oportunidad detectada en IMB.L,IMB.L aparece por primera vez con score 67.7 y clasificación seguimiento.,2026-08-27T19:14:18.389605+02:00,False
PG,new_opportunity,media,Nueva oportunidad detectada en PG,PG aparece por primera vez con score 63.7 y clasificación descarte.,2026-08-27T19:14:21.354021+02:00,False
PEP,new_opportunity,media,Nueva oportunidad detectada en PEP,PEP aparece por primera vez con score 61.5 y clasificación descarte.,2026-08-27T19:14:21.928954+02:00,False
T,new_opportunity,media,Nueva oportunidad detectada en T,T aparece por primera vez con score 63.0 y clasificación seguimiento.,2026-08-27T19:14:24.727540+02:00,False
ED,new_opportunity,media,Nueva oportunidad detectada en ED,ED aparece por primera vez con score 66.7 y clasificación seguimiento.,2026-08-27T19:14:34.005914+02:00,False
MCD,new_opportunity,media,Nueva oportunidad detectada en MCD,MCD aparece por primera vez con score 70.0 y clasificación entrada_directa.,2026-08-27T19:14:35.986968+02:00,False
WMT,new_opportunity,media,Nueva oportunidad detectada en WMT,WMT aparece por primera vez con score 66.0 y clasificación seguimiento.,2026-08-27T19:14:46.434419+02:00,False
IBM,new_opportunity,media,Nueva oportunidad detectada en IBM,IBM aparece por primera vez con score 60.6 y clasificación descarte.,2026-08-27T19:14:47.925947+02:00,False
DUK,new_opportunity,media,Nueva oportunidad detectada en DUK,DUK aparece por primera vez con score 60.8 y clasificación seguimiento.,2026-08-27T19:14:59.022509+02:00,False
NEE,new_opportunity,media,Nueva oportunidad detectada en NEE,NEE aparece por primera vez con score 60.7 y clasificación seguimiento.,2026-08-27T19:15:00.138929+02:00,False
SRE,new_opportunity,media,Nueva oportunidad detectada en SRE,SRE aparece por primera vez con score 61.8 y clasificación descarte.,2026-08-27T19:15:02.646666+02:00,False
META,new_opportunity,media,Nueva oportunidad detectada en META,META aparece por primera vez con score 60.1 y clasificación descarte.,2026-08-27T19:15:16.946516+02:00,False
QCOM,new_opportunity,media,Nueva oportunidad detectada en QCOM,QCOM aparece por primera vez con score 63.5 y clasificación seguimiento.,2026-08-27T19:15:19.630458+02:00,False
WBC.AX,new_opportunity,media,Nueva oportunidad detectada en WBC.AX,WBC.AX aparece por primera vez con score 63.8 y clasificación descarte.,2026-08-27T19:15:22.254371+02:00,False
FMG.AX,new_opportunity,media,Nueva oportunidad detectada en FMG.AX,FMG.AX aparece por primera vez con score 78.2 y clasificación seguimiento.,2026-08-27T19:15:27.832490+02:00,False
ORG.AX,new_opportunity,media,Nueva oportunidad detectada en ORG.AX,ORG.AX aparece por primera vez con score 61.3 y clasificación seguimiento.,2026-08-27T19:15:33.078587+02:00,False
GPT.AX,new_opportunity,media,Nueva oportunidad detectada en GPT.AX,GPT.AX aparece por primera vez con score 67.0 y clasificación seguimiento.,2026-08-27T19:15:35.207474+02:00,False
SCG.AX,new_opportunity,media,Nueva oportunidad detectada en SCG.AX,SCG.AX aparece por primera vez con score 69.4 y clasificación seguimiento.,2026-08-27T19:15:35.248183+02:00,False
MGR.AX,new_opportunity,media,Nueva oportunidad detectada en MGR.AX,MGR.AX aparece por primera vez con score 71.1 y clasificación seguimiento.,2026-08-27T19:15:35.532841+02:00,False
BEN.AX,new_opportunity,media,Nueva oportunidad detectada en BEN.AX,BEN.AX aparece por primera vez con score 67.5 y clasificación seguimiento.,2026-08-27T19:15:38.254383+02:00,False
9021.T,new_opportunity,media,Nueva oportunidad detectada en 9021.T,9021.T aparece por primera vez con score 62.1 y clasificación seguimiento.,2026-08-27T19:15:52.234404+02:00,False
0066.HK,new_opportunity,media,Nueva oportunidad detectada en 0066.HK,0066.HK aparece por primera vez con score 61.0 y clasificación seguimiento.,2026-08-27T19:16:01.438579+02:00,False
